customer_id,signup_date,initial_plan,acquisition_channel,industry,company_size_employees
CUST-0001,30-Apr-2024,Pro,Outbound Sales,Education,150
CUST-0002,2023-07-17,Growth,Partner,Manufacturing,1000
CUST-0003,2023-09-08,Growth,Partner,Education,20
CUST-0004,18-Mar-2024,Starter,Outbound Sales,Retail,1000
CUST-0005,2023-06-05,Growth,Organic,Manufacturing,5
CUST-0006,2023-11-30,Starter,Paid Search,Technology,150
CUST-0007,21-Jan-2024,Pro,Referral,Finance,50
CUST-0008,22-Jul-2022,Enterprise,Organic,Finance,150
CUST-0009,02/19/2022,Pro,Referral,Education,150
CUST-0010,28-Sep-2022,Starter,Organic,Technology,20
CUST-0011,14-Sep-2022,Starter,Referral,Technology,5
CUST-0012,26-Feb-2024,Starter,Organic,Manufacturing,150
CUST-0013,2024-04-01,Starter,Paid Search,Retail,1000
CUST-0014,2022-01-05,Growth,Paid Search,Manufacturing,20
CUST-0015,03/26/2023,Pro,Partner,Finance,150
CUST-0016,2024-01-10,Starter,Referral,Healthcare,5
CUST-0017,2022-04-29,Pro,Referral,Healthcare,50
CUST-0018,12/19/2023,Pro,Partner,Finance,5
CUST-0019,18-Apr-2022,Starter,Organic,Healthcare,5
CUST-0020,26-Feb-2023,Pro,Paid Search,Manufacturing,400
CUST-0021,01/05/2024,Pro,Referral,Finance,1000
CUST-0022,30-Sep-2022,Starter,Partner,Manufacturing,1000
CUST-0023,11/04/2022,Growth,Outbound Sales,Technology,400
CUST-0024,2022-09-08,Growth,Outbound Sales,Finance,5
CUST-0025,10/10/2023,Growth,Paid Search,Finance,1000
CUST-0026,18-Aug-2022,Starter,Partner,Manufacturing,5
CUST-0027,10-Jun-2024,Growth,Organic,Education,20
CUST-0028,05-Feb-2023,Growth,Referral,Finance,20
CUST-0029,03/07/2023,Pro,Paid Search,Technology,400
CUST-0030,31-Mar-2023,Pro,Organic,Finance,5
CUST-0031,06/09/2023,Starter,Organic,Healthcare,1000
CUST-0032,14-May-2023,Pro,Outbound Sales,Technology,20
CUST-0033,04/04/2023,Pro,Partner,Retail,1000
CUST-0034,14-Jun-2024,Pro,Paid Search,Finance,150
CUST-0035,28-Dec-2023,Starter,Organic,Finance,20
CUST-0036,15-Dec-2023,Starter,Organic,Finance,50
