event_id,customer_id,event_date,event_type,plan_from,plan_to,cancellation_reason
EVT-00001,CUST-0001,2025-04-21,cancellation,Pro,,
EVT-00002,CUST-0002,06/13/2024,downgrade,Growth,Starter,
EVT-00003,CUST-0002,01/29/2025,downgrade,Starter,Starter,
EVT-00004,CUST-0003,03/26/2024,downgrade,Growth,Pro,
EVT-00005,CUST-0003,08/13/2024,downgrade,Pro,Growth,
EVT-00006,CUST-0004,2024-08-20,upgrade,Starter,Growth,
EVT-00007,CUST-0005,2023-12-23,downgrade,Growth,Enterprise,
EVT-00008,CUST-0006,05/25/2024,upgrade,Starter,Starter,
EVT-00009,CUST-0006,07/28/2024,upgrade,Starter,Starter,
EVT-00010,CUST-0007,03/22/2024,downgrade,Pro,Pro,
EVT-00011,CUST-0007,01/14/2025,upgrade,Pro,Enterprise,
EVT-00012,CUST-0008,2023-02-24,upgrade,Enterprise,Starter,
EVT-00013,CUST-0008,01-Apr-2023,cancellation,Starter,,Poor Support
EVT-00014,CUST-0009,2023-02-21,upgrade,Pro,Enterprise,
EVT-00015,CUST-0009,29-Dec-2023,cancellation,Enterprise,,
EVT-00016,CUST-0010,2023-06-24,upgrade,Starter,Growth,
EVT-00017,CUST-0010,05/05/2024,upgrade,Growth,Starter,
EVT-00018,CUST-0011,2023-05-06,downgrade,Starter,Pro,
EVT-00019,CUST-0012,02/25/2025,upgrade,Starter,Pro,
EVT-00020,CUST-0012,2025-04-10,downgrade,Pro,Enterprise,
EVT-00021,CUST-0012,06-May-2025,cancellation,Enterprise,,
EVT-00022,CUST-0013,12/28/2024,upgrade,Starter,Starter,
EVT-00023,CUST-0014,2022-10-13,upgrade,Growth,Growth,
EVT-00024,CUST-0015,2023-06-02,downgrade,Pro,Enterprise,
EVT-00025,CUST-0017,2022-08-23,upgrade,Pro,Pro,
EVT-00026,CUST-0017,02-Apr-2023,cancellation,Pro,,Switched Competitor
EVT-00027,CUST-0018,02/07/2024,upgrade,Pro,Pro,
EVT-00028,CUST-0018,2024-07-30,upgrade,Pro,Starter,
EVT-00029,CUST-0020,03/28/2024,upgrade,Pro,Growth,
EVT-00030,CUST-0020,07/02/2024,cancellation,Growth,,Budget Cuts
EVT-00031,CUST-0021,2024-10-29,upgrade,Pro,Growth,
EVT-00032,CUST-0021,08-May-2025,cancellation,Growth,,
EVT-00033,CUST-0022,2023-11-01,upgrade,Starter,Starter,
EVT-00034,CUST-0022,2024-02-15,downgrade,Starter,Enterprise,
EVT-00035,CUST-0022,2024-10-22,upgrade,Enterprise,Enterprise,
EVT-00036,CUST-0023,2023-07-26,upgrade,Growth,Enterprise,
EVT-00037,CUST-0023,07/16/2024,upgrade,Enterprise,Starter,
EVT-00038,CUST-0024,2023-05-27,upgrade,Growth,Pro,
EVT-00039,CUST-0024,08/14/2023,downgrade,Pro,Enterprise,
EVT-00040,CUST-0024,10/07/2023,upgrade,Enterprise,Starter,
EVT-00041,CUST-0025,07/20/2024,upgrade,Growth,Enterprise,
EVT-00042,CUST-0026,2023-03-08,upgrade,Starter,Growth,
EVT-00043,CUST-0026,03/30/2024,upgrade,Growth,Starter,
EVT-00044,CUST-0027,05/12/2025,cancellation,Growth,,Missing Features
EVT-00045,CUST-0028,2023-07-19,upgrade,Growth,Starter,
EVT-00046,CUST-0029,2024-01-29,upgrade,Pro,Enterprise,
EVT-00047,CUST-0029,10/15/2024,upgrade,Enterprise,Pro,
EVT-00048,CUST-0030,2023-12-25,upgrade,Pro,Growth,
EVT-00049,CUST-0030,12/17/2024,upgrade,Growth,Enterprise,
EVT-00050,CUST-0030,04/15/2025,downgrade,Enterprise,Enterprise,
EVT-00051,CUST-0031,04/14/2024,upgrade,Starter,Enterprise,
EVT-00052,CUST-0031,2024-08-19,upgrade,Enterprise,Pro,
EVT-00053,CUST-0031,2025-05-11,downgrade,Pro,Enterprise,
EVT-00054,CUST-0032,08/17/2024,cancellation,Pro,,Budget Cuts
EVT-00055,CUST-0033,2023-12-22,downgrade,Pro,Enterprise,
EVT-00056,CUST-0035,2024-02-20,downgrade,Starter,Starter,
EVT-00057,CUST-0036,06/07/2024,upgrade,Starter,Growth,
EVT-00058,CUST-0036,2025-05-21,cancellation,Growth,,
EVT-00059,CUST-0037,01/16/2024,downgrade,Growth,Starter,
EVT-00060,CUST-0038,03/06/2024,downgrade,Starter,Pro,
EVT-00061,CUST-0038,10/11/2024,cancellation,Pro,,
EVT-00062,CUST-0039,02/22/2024,cancellation,Growth,,Poor Support
EVT-00063,CUST-0040,2025-04-20,upgrade,Enterprise,Growth,
EVT-00064,CUST-0040,02/07/2025,cancellation,Growth,,Poor Support
EVT-00065,CUST-0041,2023-07-26,downgrade,Starter,Pro,
EVT-00066,CUST-0042,2022-10-24,upgrade,Starter,Growth,
EVT-00067,CUST-0042,2023-02-12,downgrade,Growth,Pro,
EVT-00068,CUST-0043,06/08/2024,downgrade,Growth,Pro,
EVT-00069,CUST-0043,2024-09-04,downgrade,Pro,Growth,
EVT-00070,CUST-0043,2025-05-01,upgrade,Growth,Growth,
EVT-00071,CUST-0044,11/05/2022,downgrade,Growth,Pro,
EVT-00072,CUST-0044,12/02/2023,cancellation,Pro,,Price
EVT-00073,CUST-0046,05/23/2024,upgrade,STARTER,Starter,
EVT-00074,CUST-0046,12/09/2024,upgrade,Starter,Starter,
EVT-00075,CUST-0046,05/25/2025,cancellation,Starter,,Missing Features
EVT-00076,CUST-0047,05/07/2023,upgrade,Starter,Pro,
EVT-00077,CUST-0047,02/22/2024,downgrade,Pro,Growth,
EVT-00078,CUST-0048,2022-04-05,upgrade,Growth,Enterprise,
EVT-00079,CUST-0049,2023-08-14,upgrade,Pro,Growth,
EVT-00080,CUST-0051,2023-02-19,upgrade,Starter,Growth,
EVT-00081,CUST-0052,02/06/2024,downgrade,Growth,Starter,
EVT-00082,CUST-0052,2023-12-12,cancellation,Starter,,Switched Competitor
EVT-00083,CUST-0053,11/01/2024,downgrade,Starter,Growth,
EVT-00084,CUST-0053,2024-11-18,cancellation,Growth,,Poor Support
EVT-00085,CUST-0054,08/11/2023,downgrade,Starter,Growth,
EVT-00086,CUST-0054,2024-02-08,downgrade,Growth,Enterprise,
EVT-00087,CUST-0054,06-May-2023,cancellation,Enterprise,,Price
EVT-00088,CUST-0056,2025-01-18,downgrade,Growth,Growth,
EVT-00089,CUST-0056,2025-02-25,upgrade,Growth,Enterprise,
EVT-00090,CUST-0057,2025-02-12,upgrade,STARTER,Growth,
EVT-00091,CUST-0057,03/27/2025,upgrade,Growth,Pro,
EVT-00092,CUST-0057,06-May-2025,cancellation,Pro,,Budget Cuts
EVT-00093,CUST-0058,10/18/2023,upgrade,Pro,Starter,
EVT-00094,CUST-0058,2023-12-12,upgrade,Starter,Enterprise,
EVT-00095,CUST-0058,2024-02-14,upgrade,Enterprise,Growth,
EVT-00096,CUST-0059,2023-08-28,upgrade,Growth,Starter,
EVT-00097,CUST-0059,2024-02-07,upgrade,Starter,Growth,
EVT-00098,CUST-0060,06/24/2023,upgrade,Starter,Growth,
EVT-00099,CUST-0060,2023-11-12,cancellation,Growth,,
EVT-00100,CUST-0061,01/07/2023,cancellation,Starter,,Switched Competitor
EVT-00101,CUST-0062,08/16/2023,upgrade,Pro,Enterprise,
EVT-00102,CUST-0062,2024-07-04,downgrade,Enterprise,Pro,
EVT-00103,CUST-0062,18-Nov-2024,cancellation,Pro,,Poor Support
EVT-00104,CUST-0063,06/23/2023,upgrade,Starter,Pro,
EVT-00105,CUST-0063,11/30/2023,upgrade,Pro,Starter,
EVT-00106,CUST-0064,10/24/2022,downgrade,Starter,Growth,
EVT-00107,CUST-0064,2023-04-23,upgrade,Growth,Growth,
EVT-00108,CUST-0065,11-May-2025,cancellation,Starter,,
EVT-00109,CUST-0066,2023-01-25,downgrade,STARTER,Enterprise,
EVT-00110,CUST-0066,2023-05-06,upgrade,Enterprise,Starter,
EVT-00111,CUST-0069,01-May-2025,cancellation,Starter,,Poor Support
EVT-00112,CUST-0070,2023-11-12,downgrade,Pro,Starter,
EVT-00113,CUST-0071,02/08/2025,upgrade,Growth,Starter,
EVT-00114,CUST-0072,07/08/2023,upgrade,Starter,Growth,
EVT-00115,CUST-0072,05/04/2024,upgrade,Growth,Enterprise,
EVT-00116,CUST-0072,07/04/2024,downgrade,Enterprise,Starter,
EVT-00117,CUST-0073,02/03/2024,upgrade,Growth,Starter,
EVT-00118,CUST-0073,04/11/2024,upgrade,Starter,Growth,
EVT-00119,CUST-0073,05/26/2024,upgrade,Growth,Growth,
EVT-00120,CUST-0076,2022-03-09,cancellation,Pro,,
EVT-00121,CUST-0077,2023-09-13,downgrade,Starter,Starter,
EVT-00122,CUST-0077,2024-07-21,upgrade,Starter,Pro,
EVT-00123,CUST-0078,09/10/2024,upgrade,Pro,Growth,
EVT-00124,CUST-0078,01/26/2025,upgrade,Growth,Starter,
EVT-00125,CUST-0078,02-Apr-2025,cancellation,Starter,,
EVT-00126,CUST-0079,2024-07-03,upgrade,Pro,Growth,
EVT-00127,CUST-0080,08/12/2022,upgrade,Pro,Growth,
EVT-00128,CUST-0081,2023-08-14,upgrade,Growth,Enterprise,
EVT-00129,CUST-0081,06/10/2024,downgrade,Enterprise,Growth,
EVT-00130,CUST-0081,2024-07-11,downgrade,Growth,Enterprise,
EVT-00131,CUST-0081,03/11/2025,cancellation,Enterprise,,Missing Features
EVT-00132,CUST-0082,2023-04-08,upgrade,Starter,Pro,
EVT-00133,CUST-0082,01/03/2024,downgrade,Pro,Pro,
EVT-00134,CUST-0082,2024-02-08,downgrade,Pro,Growth,
EVT-00135,CUST-0082,2023-10-15,cancellation,Growth,,Price
EVT-00136,CUST-0083,2025-03-09,upgrade,Starter,Pro,
EVT-00137,CUST-0084,02/04/2025,downgrade,Growth,Growth,
EVT-00138,CUST-0084,2025-05-23,downgrade,Growth,Growth,
EVT-00139,CUST-0085,04/20/2023,upgrade,Pro,Starter,
EVT-00140,CUST-0087,2024-10-22,downgrade,Starter,Enterprise,
EVT-00141,CUST-0087,12/04/2024,downgrade,Enterprise,Pro,
EVT-00142,CUST-0087,2024-09-10,cancellation,Pro,,
EVT-00143,CUST-0088,09/21/2024,downgrade,Growth,Pro,
EVT-00144,CUST-0088,05/08/2025,upgrade,Pro,Enterprise,
EVT-00145,CUST-0089,2023-12-09,downgrade,Pro,Growth,
EVT-00146,CUST-0089,2024-11-26,upgrade,Growth,Growth,
EVT-00147,CUST-0090,2023-12-30,upgrade,Pro,Growth,
EVT-00148,CUST-0090,06/17/2024,downgrade,Growth,Starter,
EVT-00149,CUST-0090,2024-12-21,upgrade,Starter,Pro,
EVT-00150,CUST-0090,12/09/2024,cancellation,Pro,,Price
EVT-00151,CUST-0091,11/28/2022,upgrade,Starter,Pro,
EVT-00152,CUST-0091,2023-07-22,downgrade,Pro,Enterprise,
EVT-00153,CUST-0091,11/15/2023,downgrade,Enterprise,Pro,
EVT-00154,CUST-0093,03/16/2024,cancellation,Pro,,
EVT-00155,CUST-0094,2023-02-18,downgrade,Growth,Growth,
EVT-00156,CUST-0095,03/22/2023,downgrade,Pro,Pro,
EVT-00157,CUST-0095,2023-07-11,upgrade,Pro,Pro,
EVT-00158,CUST-0095,03/08/2024,upgrade,Pro,Growth,
EVT-00159,CUST-0096,2024-04-03,downgrade,Enterprise,Enterprise,
EVT-00160,CUST-0096,2024-06-27,upgrade,Enterprise,Enterprise,
EVT-00161,CUST-0096,2025-05-01,upgrade,Enterprise,Enterprise,
EVT-00162,CUST-0097,2024-09-16,upgrade,Enterprise,Growth,
EVT-00163,CUST-0097,2025-05-20,cancellation,Growth,,
EVT-00164,CUST-0098,2023-06-15,upgrade,Pro,Growth,
EVT-00165,CUST-0098,03/12/2024,downgrade,Growth,Growth,
EVT-00166,CUST-0098,12/10/2024,downgrade,Growth,Growth,
EVT-00167,CUST-0098,07/11/2024,cancellation,Growth,,Poor Support
EVT-00168,CUST-0099,05/18/2024,upgrade,Pro,Growth,
EVT-00169,CUST-0099,08/20/2024,upgrade,Growth,Starter,
EVT-00170,CUST-0100,2024-12-26,upgrade,Starter,Pro,
EVT-00171,CUST-0100,03/19/2025,downgrade,Pro,Growth,
EVT-00172,CUST-0100,2024-07-25,cancellation,Growth,,Missing Features
EVT-00173,CUST-0102,09/21/2023,upgrade,Starter,Pro,
EVT-00174,CUST-0102,2024-04-02,upgrade,Pro,Growth,
