customer_id,usage_month,monthly_logins,active_users,support_tickets
CUST-0001,2024-04,29.1,6,0
CUST-0001,2024-05,22.5,8,3
CUST-0001,2024-06,21.8,5,3
CUST-0001,2024-07,22.4,4,1
CUST-0001,2024-08,20.5,6,0
CUST-0001,2024-09,20.4,9,0
CUST-0001,2024-10,13.6,4,1
CUST-0001,2024-11,10.9,2,0
CUST-0001,2024-12,20.2,5,2
CUST-0001,2025-01,16.1,3,1
CUST-0001,2025-02,6.7,2,3
CUST-0001,2025-03,8.3,2,3
CUST-0001,2025-04,4.4,1,0
CUST-0001,2025-05,11.5,5,0
CUST-0002,2023-07,15.7,3,0
CUST-0002,2023-08,11.4,4,0
CUST-0002,2023-09,,3,1
CUST-0002,2023-10,9.2,2,0
CUST-0002,2023-11,15.9,5,0
CUST-0002,2023-12,21.1,5,1
CUST-0002,2024-01,14.7,3,1
CUST-0002,2024-02,7.3,1,1
CUST-0002,2024-03,12.4,5,1
CUST-0002,2024-04,8.4,2,0
CUST-0002,2024-05,11.8,3,0
CUST-0002,2024-06,9.1,1,0
CUST-0002,2024-07,12.7,5,0
CUST-0002,2024-08,10.5,3,0
CUST-0002,2024-09,15.9,3,1
CUST-0002,2024-10,12.0,5,1
CUST-0002,2024-11,11.5,5,0
CUST-0002,2024-12,14.2,6,0
CUST-0002,2025-01,15.2,5,0
CUST-0002,2025-02,11.9,4,0
CUST-0002,2025-03,12.0,2,1
CUST-0002,2025-04,10.0,3,0
CUST-0002,2025-05,13.2,2,0
CUST-0003,2023-09,32.2,10,1
CUST-0003,2023-10,26.8,8,1
CUST-0003,2023-11,31.3,7,1
CUST-0003,2023-12,32.8,15,0
CUST-0003,2024-01,34.2,13,0
CUST-0003,2024-02,32.2,6,0
CUST-0003,2024-03,26.8,9,0
CUST-0003,2024-04,30.5,13,0
CUST-0003,2024-05,27.8,10,0
CUST-0003,2024-06,30.6,7,1
CUST-0003,2024-07,27.0,7,1
CUST-0003,2024-08,21.8,5,0
CUST-0003,2024-09,29.0,6,0
CUST-0003,2024-10,29.0,11,0
CUST-0003,2024-11,32.6,6,0
CUST-0003,2024-12,25.2,11,0
CUST-0003,2025-01,32.4,8,0
CUST-0003,2025-02,31.8,12,0
CUST-0003,2025-03,28.3,8,0
CUST-0003,2025-04,26.6,5,0
CUST-0003,2025-05,30.5,7,0
CUST-0004,2024-03,15.7,3,0
CUST-0004,2024-04,14.5,5,0
CUST-0004,2024-05,14.2,5,1
CUST-0004,2024-06,16.5,3,0
CUST-0004,2024-07,12.3,2,0
CUST-0004,2024-08,14.7,6,1
CUST-0004,2024-09,11.0,2,0
CUST-0004,2024-10,11.7,2,0
CUST-0004,2024-11,,5,0
CUST-0004,2024-12,13.7,5,2
CUST-0004,2025-01,,2,1
CUST-0004,2025-02,11.7,2,0
CUST-0004,2025-03,8.2,3,1
CUST-0004,2025-04,14.8,6,1
CUST-0004,2025-05,12.6,4,1
CUST-0005,2023-06,11.5,4,1
CUST-0005,2023-07,8.4,1,2
CUST-0005,2023-08,9.6,2,0
CUST-0005,2023-09,6.3,2,0
CUST-0005,2023-10,11.4,2,0
CUST-0005,2023-11,11.2,3,0
CUST-0005,2023-12,9.4,3,0
CUST-0005,2024-01,13.3,4,1
CUST-0005,2024-02,10.9,4,0
CUST-0005,2024-03,7.8,2,0
CUST-0005,2024-04,15.5,3,0
CUST-0005,2024-05,5.8,1,0
CUST-0005,2024-06,13.0,5,0
CUST-0005,2024-07,12.3,3,1
CUST-0005,2024-08,11.0,3,0
CUST-0005,2024-09,4.1,1,0
CUST-0005,2024-10,,2,0
CUST-0005,2024-11,15.3,6,0
CUST-0005,2024-12,11.9,2,0
CUST-0005,2025-01,13.3,2,0
CUST-0005,2025-02,9.7,3,0
CUST-0005,2025-03,6.2,2,0
CUST-0005,2025-04,14.2,4,0
CUST-0005,2025-05,13.4,3,0
CUST-0006,2023-11,27.5,8,1
CUST-0006,2023-12,30.4,9,0
CUST-0006,2024-01,,5,0
CUST-0006,2024-02,22.7,6,0
CUST-0006,2024-03,33.8,11,0
CUST-0006,2024-04,26.7,7,0
CUST-0006,2024-05,30.7,8,0
CUST-0006,2024-06,25.4,7,0
CUST-0006,2024-07,30.6,7,0
CUST-0006,2024-08,29.6,13,0
CUST-0006,2024-09,31.8,8,0
CUST-0006,2024-10,27.6,13,0
CUST-0006,2024-11,23.6,6,0
CUST-0006,2024-12,26.1,9,0
CUST-0006,2025-01,31.4,7,2
CUST-0006,2025-02,27.7,10,0
CUST-0006,2025-03,32.8,8,0
CUST-0006,2025-04,30.7,7,0
CUST-0006,2025-05,34.1,7,0
CUST-0007,2024-01,18.4,8,0
CUST-0007,2024-02,16.6,3,0
CUST-0007,2024-03,19.5,9,0
CUST-0007,2024-04,16.5,4,1
CUST-0007,2024-05,20.3,6,1
CUST-0007,2024-06,19.7,8,0
CUST-0007,2024-07,13.9,2,0
CUST-0007,2024-08,18.0,7,0
CUST-0007,2024-09,19.8,4,0
CUST-0007,2024-10,16.3,7,0
CUST-0007,2024-11,12.8,2,1
CUST-0007,2024-12,9.4,2,0
CUST-0007,2025-01,16.7,6,0
CUST-0007,2025-02,22.1,5,0
CUST-0007,2025-03,15.0,4,0
CUST-0007,2025-04,18.4,7,0
CUST-0007,2025-05,12.3,3,1
CUST-0008,2022-07,31.7,9,2
CUST-0008,2022-08,23.7,8,1
CUST-0008,2022-09,29.5,11,0
CUST-0008,2022-10,22.2,6,2
CUST-0008,2022-11,21.5,4,1
CUST-0008,2022-12,19.1,5,0
CUST-0008,2023-01,21.9,9,2
CUST-0008,2023-02,18.3,7,0
CUST-0008,2023-03,18.5,4,2
CUST-0008,2023-04,15.3,3,0
CUST-0008,2023-05,11.6,3,0
CUST-0008,2023-06,19.1,8,1
CUST-0008,2023-07,6.1,1,0
CUST-0008,2023-08,18.3,7,3
